id,timestamp,feeTier,poolId,token0,token1,tickLower,tickUpper
"0x70851b63a79bb8e6c644a7821adaa5814bbf9eee88095896283ae1f0a33e98f3","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0xffc4c367f505b71d0f1ed6b7ff69facf1504f906665481560d937d9281b6ecf8","1730415731","3000","0x99a6880748ceb61c3d9b6d4cd49edb59f79f405d","AGIX","WETH","140880","148200"
"0x1aa3fc280c7de664fc38cdd250bdeae8b2205aca2809e57cd7d5227fe8883daa","1730415839","3000","0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb","PENDLE","WETH","-63540","-63120"
"0x514a8a69dc8a40bec465fdf8e444bb5feb27d3c132eac27a4872bbf3a4a0cbaf","1730415827","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54000","-53940"
"0x5f8fc5e1569b9e7d8746ed9859e7da6ccb01eb96113d7e8cd30bee16dba42b7e","1730415827","10000","0x841820459769cd629b10a36fd12e603938cc2679","WLD","WETH","-72000","-71800"
"0x605b01a2b4a7964f0872a3878fbb1971158cad692b5badbf363bc37e062485c3","1730415803","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54960","-52200"
"0xb7075b76833b3e9c4a5ae058ca44fd4619f0a286c9bcfd9a1afece30b6684734","1730415815","10000","0xdd949d1fe117744a38319c7b7dcc045d630bcc8d","WETH","BERRY","-887200","887200"
"0x68e2f14a38310a2be64d1b7a171b25ff76320750c25b2d2789d4e091fbcefe73","1730415863","10000","0x15a1902069499fa225ca9bb3b5fdedf7d331e939","VOLT","LOTUS","-887200","887200"
"0x70851b63a79bb8e6c644a7821adaa5814bbf9eee88095896283ae1f0a33e98f3","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0xffc4c367f505b71d0f1ed6b7ff69facf1504f906665481560d937d9281b6ecf8","1730415731","3000","0x99a6880748ceb61c3d9b6d4cd49edb59f79f405d","AGIX","WETH","140880","148200"
