"amount0","amount1","timestamp"
"869910129.679802351538274394","-0.107832442547497346","1693756115"
"1194212348.833355852537753938","-0.147620008360532071","1693897151"
"16567983171.221785151486031002","-2","1694089787"
"197419267.192420157668271517","-0.023304181773097586","1694139251"
"20387789918.283175710124856377","-2.342996341474755001","1694152295"
"16906297.542026390909355004","-0.001891955098848148","1694336495"
"980962682.940028589285455801","-0.109637284467020999","1694751203"
"9962388675.402015370956687927","-1.09800591330335412","1694789831"
"1232731384.040351963657109253","-0.133941230642655683","1694879099"
"-1352826798.711143655844914464","0.15","1694906603"
"1352826798.711143655844914464","-0.147017541768697045","1694919875"
"428006313.072581471928109469","-0.046408553149823433","1695399803"
"202014076.869705318044399816","-0.021886859083367518","1695425123"
"59852598.182548052157974393","-0.006482477640560464","1695490991"
"32453844.830913831678476302","-0.003514580522954908","1695611651"
"15960839420.830300773610817192","-1.694222025593837873","1695640895"
"-9572925810.099064660005035171","1.028605446603848812","1695640907"
"9572925810.09906466000503516","-1.008257000867993588","1695729983"
"329090849.055890317070413411","-0.034235956801879768","1695885023"
"593373989.86524410870624213","-0.061659357532835107","1695933431"
"123536143.888452998989595312","-0.012825639493971724","1696282523"
"67597812.517008367416775243","-0.007016408950589046","1696311131"
"13915573578.225967744873767968","-1.423673474601905239","1696407671"
"78898160.72215540823751764","-0.008020110692974729","1696637807"
"-192834350.132199553330964153","0.02","1696705535"
"200000000","-0.02033039746293027","1696726943"
"1761833283.346636880523665562","-0.179076382819213271","1696744607"
"192834350.132199553330964153","-0.019598177502585892","1696856831"
"313201458.241174867989121737","-0.031830549448061211","1697070491"
"653339283","-0.06639544080127211","1697080787"
"189652533.146230250632026221","-0.019272583244683086","1697226863"
"68705149","-0.00698176117719433","1697431739"
"563320301.843881479484793415","-0.057242350458241055","1697531027"
"193704290.274757964412558448","-0.019682712429240666","1697571935"
"107709264.813187105387214229","-0.010944407634100652","1697646563"
"234579537.282577385688411807","-0.023835371913847131","1697821271"
"1253470672.149456795673566828","-0.127354370398886712","1697993039"
"478844402.132489163096227081","-0.048647069739005426","1698123431"
"117280981.677407231732849674","-0.01191453210693554","1698202451"
"1602655139.44383026319217287","-0.162799229579264246","1698360899"
"35969745.146477593939397355","-0.00365354319691941","1698459119"
"66064652.162467005424574296","-0.006710329338418088","1698479999"
"86442025.769194754837854227","-0.008780036600190102","1699244471"
"1872265549.421714964291173983","-0.190150096674951971","1699303631"
"85479524.278561919999999999","-0.008680583839875444","1699785503"
"2532836872.574715849318414653","-0.257180206038542871","1699998239"
"1478109420.903574806921724537","-0.150054950273757581","1699998527"
"1595602336.136426561502509683","-0.161957873301964241","1700307563"
"48964085.560536046627126665","-0.004969578514464072","1700361779"
"2580476386.85100538918144838","-0.261869581417076551","1700429663"
"-1931651614.68570935580724458","0.2","1700429723"
"1931651614","-0.196020189966059661","1700429855"
"-1415762151","0.146582150334034288","1700740055"
"1000000000","-0.10147766375000278","1700740403"
"12735678000","-1.291505357999471107","1700806403"
"-48354838.426799531279380097","0.005","1700863247"
"-9666255355.116358122586880581","1","1701195875"
"-483066727.163570922094088028","0.05","1701200135"
"9656418619","-0.979155300051015811","1701272891"
"-966990331.353725750482755012","0.1","1701389207"
"-1916781031.535515078327159625","0.19825","1701389723"
"-966710610.199099031726843749","0.1","1701390011"
"-966616849.889839098996030472","0.1","1701390047"
"-86990918.013033363357107011","0.009","1701390203"
"-1449736849.754779081878860282","0.15","1701390311"
"1449736849.754779081878860282","-0.147015106933132172","1701394703"
"1916781031.535515078327159625","-0.194344685463317145","1701403379"
"1933327460.088938130722874221","-0.195984867975037032","1701461615"
"966990331.353725750482755012","-0.098011424003671925","1701763319"
"3072689314.969816508181429865","-0.311376692290570852","1702017731"
"417612496.686738863974243575","-0.04231220616816222","1702838867"
"161584045.069007162067618938","-0.016371111672572865","1704037223"
"86990918.013033363357107011","-0.008813496757182262","1704263723"
"144941480.407204165132953225","-0.014684596815071831","1705348487"
"3533086201.725923324748003456","-0.357885635989492985","1706178179"
"1745619409","-0.176777012748870477","1706547455"
"-1925988929.587626156256975097","0.199004975124378109","1708697567"
"1925988929.587626156256975097","-0.195044964461990831","1708697591"
"530426160.167077806031435866","-0.05370972604240687","1710379451"
"-967905027.25651292922415451","0.1","1710403799"
"483066727.163570922094088028","-0.048916506220730599","1710441719"
"2862307606.780454557711098259","-0.289796075588298838","1711081571"
"2052149537.529010457687029396","-0.207720458965644361","1712447591"
"195461364.85399860990127267","-0.019782572011442913","1713064319"
"55249695.639920242070388039","-0.005591731571054373","1714261859"
"77862956.831257833307116157","-0.007880330795594844","1716581147"
"29688383.637937233468250085","-0.003004676996109695","1716632051"
"194787946.208147742420543586","-0.019713715264250116","1717379531"
"115954736.321976706193948048","-0.01173513788743362","1717540643"
"-55952219631.978985698190627038","5.798736616343870464","1717710179"
"19948924445.838093129347492923","-2.035276158753625736","1717710179"
"-37122294705.614069345214983991","3.91860994989849875","1717710179"
"37122294705.614069345214983991","-3.764069503653511551","1717768859"
"-1769519.240675582798241047","0.000182728795342873","1717851971"
"-10162867608.946191804471518006","1.05","1718306867"
"151287724.443610595268165412","-0.015327281697711241","1718688599"
"-9621361638.486255706925270537","0.995024875621890547","1719570887"
"9621361638.486255706925270537","-0.975228586172674641","1719577247"
"148103406.485622879190495292","-0.015004593425292152","1719704087"
"15879991.308095821840903358","-0.001608814266568598","1719964775"
"62316839.070032958288079519","-0.006313342908787531","1720209683"
"60000000","-0.006078586138347375","1721039279"
"269678711.830753041148181703","-0.027320640810690859","1721372495"
"797278835.74594595691670367","-0.080766534225552221","1721818487"
"94254521.020003391010615077","-0.009547819057541209","1721892635"
"287906043.680608636474182967","-0.029163828206261526","1722412823"
"43453997","-0.004401658402871767","1723955783"
"52732636.541390046493583787","-0.005341509651802181","1725105875"
"180302324.794685379614938192","-0.018263366477252674","1728195719"
"-908465893.500397466814190596","0.09389309238950524","1728415607"
"-19331429813.140845682815477554","2","1728417299"
"-28706823473.880756029908304683","2.985074626865671641","1728423203"
"-9290612326.403888560602421374","0.995024875621890547","1728423227"
"-9077337493.913093543627511349","0.995024875621890547","1728423383"
"-8871323214.576622775612166071","0.995024875621890547","1728423419"
"9290612326.403888560602421374","-1.020890087255628677","1728423419"
"8871323214.576622775612166071","-0.9526548599510206","1728423755"
"-1652844705.534146091958329152","0.17946","1728424019"
"9077337493.913093543627511349","-0.957096855692788511","1728424391"
"28706823473.880756029908304683","-2.930633366037355542","1728424679"
"-1158436653.968099363379434061","0.12","1728427571"
"1652844705.534146091958329152","-0.167803485298855084","1728434603"
"-8878331570.74693288810301436","0.92","1728458759"
"967905027.25651292922415451","-0.098340476555885449","1728466871"
"8856135741.820065555882756825","-0.899356225255982451","1728632039"
"-19196379458.368130629929814081","1.990049751243781094","1728818135"
"-4772911958.128357780388900099","0.497512437810945273","1728818135"
"19196379458.368130629929814081","-1.953499059666440576","1728818303"
"4772911958.128357780388900099","-0.484610923147672477","1728818483"
"-1930863347.821947007387402205","0.2","1728825923"
"1155540562.333179114970985476","-0.117314365533934984","1729274303"
"908465893.500397461516274441","-0.09222105344232481","1729842983"
"44211419.596935685160014148","-0.004487819172413116","1730234075"
"1926036189.4523921398689337","-0.195489218723566182","1731465599"
