"apr","feeTier","feesUSD","id","token0_id","token0_symbol","token1_id","token1_symbol","totalValueLockedUSD","volumeUSD"
"0","10000","0","0x050193be29813147c6bef4b057d07dcfe137bdc9","0x111111517e4929d3dcbdfa7cce55d30d4b6bc4d6","ICHI","0x853d955acef822db058eb8505911ed77f175b99e","FRAX","1081.932604936096598858369143941458","0"
"36521.57464450169","3000","5.162097655657749179108005684043876","0x05045fb42e4de1898fd508a2a3d0e5fda7ed675b","0x069add965dd68fc858a11d548168522546b06d94","PENo.2","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","5.159048213707672275623083894744369","1720.699218552583059702668561347957"
"51325.726053589235","3000","37.94945751947828078056182723314196","0x05048b217fd4d8924fde1821203084ed34ce890e","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","0xf0f0c7e43226e7c06b7f948c87e85b42e8522d2c","KarenAI","26.98754223203224872522475644464017","12649.81917315942692685394241104733"
"175928.29744670956","10000","941.136977538737932994449427124763","0x0509f0b09beee2f61ff0afeb57bdbcb24b50c631","0x8a9c4dfe8b9d8962b31e4e16f8321c44d48e246e","NCT","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","195.2585239481973907480186017925536","94113.6977538737932994449427124763"
"0","10000","0","0x050dbc25887096fc407b10f455d885f1d158bf51","0x453c3cfd14a04ec486f6f5d6d3badfb727b32a7c","CHNGCBDC","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","0.000000000000001637243730537592806891116818815799","0"
"36772.602573597316","3000","1.066722994195123305138642737750063","0x050f8d83d7f010df706fdf94afd7ed80a61f96d6","0x527ea35a5f273f08cb0d63355279f6e61e701469","BLUM","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","1.058815165725516786265052818270578","355.5743313983744350462142459166878"
"52775.794019403875","10000","134.8387769102113319006866483648054","0x050f9cc9a7a5850fec94eee9fec93ebb3a4f2ad8","0x86dd3002bf215082ea43b0bd2fd595ece4341880","VIO","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","93.25516458195212940995202076509641","13483.87769102113319006866483648054"
"442646.95045387937","3000","0.006066132533806352908911235308122176","0x05117772aee309f389d23f712fe4e135f3c0c0a0","0x9c4f48122176c39fa2a57aebed337b7874f0266a","MAIN_2","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","0.0005002041406970037121945316204926198","2.022044177935450969637078436040726"
"52833.785518035475","10000","222.1202612696823416722492429936175","0x05119e0f264f5f19932a924fa4bda5d1619db055","0x4e5f287540273bcc50c4665a41659cce76cdaaef","E.T.H.","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","153.4508545403366432150620408960646","22212.02612696823416722492429936175"
"46549.751675781845","3000","1512.111848799676507955722822571354","0x0511e23e7e22fcdbc37aef28b685333eb7186f02","0xaa26f57cafcf46ff37a190c4a74984ce80af8d3d","NOUN11","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","1185.657935741526970730566155141469","504037.2829332255026519076075237851"
"95591.13349219917","10000","121418.324456747587957757283256514","0x0515ff2c19ae54731624591d7adf68777b4ea568","0x84018071282d4b2996272659d9c01cb08dd7327f","BLENDR","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","46361.71453111754498129824277513507","12141832.4456747587957757283256514"
"69239.59256034483","10000","93.70625241977500778523289962469536","0x0516f3e91edc10475d4f0d4d722b45563eb4fa47","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","0xe784d58a669011311cf02880ec35657aef6e59e6","ALPHAS","49.39772299123352592356473820659549","9370.625241977500778523289962469536"
"126214.61016025658","3000","2.18314805088835978194967641828015","0x051a2df189c450c60fb304b48b13a4e90896902c","0x723696965f47b990dff00064fcaca95f0ee01123","ARBOT","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","0.6313445310035662093887903613018142","727.71601696278659398322547276005"
"34638.0594747624","10000","17938.33763913378348701562948078259","0x051f301bc65b7caea46d7eaf33852afabd00f283","0xb2617246d0c6c0087f18703d576831899ca94f01","ZIG","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","18902.59829091867412396473710040134","1793833.763913378348701562948078259"
"0","3000","0","0x051f8cb2d699df04d4a6ecff8a2bcc3624115a08","0x88263464a8e70b1612eb8f3bc1045e91525fe5e0","SKYY","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","0.1777024751027993728939299702316582","0"
"72637.47320833273","3000","29.88142824059840906000211409376126","0x0521dce77788cf9f317d8b9e3de02da8b57f842f","0x992bf704f1d31cd6b26e6433cd62532fbf58067e","DODO","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","15.01528181815558725094837628398266","9960.476080199469686667371364587085"
"0","3000","0","0x05262f9dafe3eadb4238e6f2df527d75e465207f","0x3bab25b055cab48fb12b15410102acf7e8630bba","ECAT","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","0.000000000000002336303214621788700874270132751366","0"
"36019.2583784723","10000","0.000991975868180351043551086113835748","0x05269faffd4d7200f2f9edc0bce449c714af8507","0x329cae8c175ac6773d5e79bd30624b953c68a308","MISTY","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","0.001005215565743651855022240696093687","0.0991975868180351043551086113835748"
"36153.3427620224","500","37.58412095371731952440059677184277","0x052912ae8b354dc0c9711550cd6bdd60f7799917","0xb64cd4f56043f8d80691433e395d08b1bebdadf0","MORA","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","37.94449724443524865384993913012905","75168.24190743463904880119354368553"
"38451.97620544523","10000","2538.3776050877485493357460087541","0x052b7f4e0e8a3619bfef537db1b97af8c2f223b4","0xa2847348b58ced0ca58d23c7e9106a49f1427df6","cvxFPIS","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","2409.519398708627200511869727332355","253837.76050877485493357460087541"
"23365.15549767075","10000","94157.01622114577670196002191562309","0x052cea5c8bc91e204bf1e686bb91f25f66d831b1","0x243cacb4d5ff6814ad668c3e225246efa886ad5a","SHI","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","WETH","147087.8758934185230601656630991046","9415701.622114577670196002191562309"
